Seconds,Engine Speed - (G28),Injection Timing,Mass Air Flow - Sensor (G70),Throttle Valve Angle,Ignition - Timing Angle,Intake Air - Temperature (G42),Lambda Control - Bank 1 (actual),Lambda Control - Bank 1 Sensor 1,Accel. Pedal Pos. - Sensor 1 (G79),Cam. Adjustment - Intake B1 (act.),Boost Pressure - Control (N75),Boost Pressure - (actual)
279.31,840,1.28,4.08,4.3,3,30,0.89,1.6,14.8,26.5,0,890
279.78,840,1.02,3.83,4.3,5.3,30,0.88,2.7,14.8,27.5,0,890
280.27,840,1.02,4.19,4.3,0.8,30,0.94,3.9,14.8,28,0,890
280.75,800,1.28,3.86,4.3,3,30,0.98,5.5,14.8,27,0,890
281.23,800,1.28,4.03,4.3,4.5,30,0.98,6.6,14.8,27.5,0,890
281.72,800,1.28,4.22,4.3,4.5,30,0.98,6.3,14.8,27.5,0,890
282.2,800,1.28,4.19,4.7,2.3,30,0.98,5.9,14.8,27.5,0,890
282.69,840,1.28,4.47,4.7,-1.5,30,1,5.1,14.8,27.5,0,890
283.19,840,1.28,4.31,4.7,-0.8,30,1.04,5.5,14.8,27,0,890
283.69,840,1.28,4.33,4.7,0,30,0.99,8.2,14.8,28,0,890
284.17,840,1.28,4.39,4.7,0,30,0.98,10.2,14.8,27,0,900
284.66,840,1.28,4.36,4.7,-0.8,30,1,5.5,14.8,27.5,0,900
285.15,840,1.28,4.56,4.7,-1.5,30,0.98,5.5,14.8,28,0,900
285.62,800,1.28,4.22,4.3,0,30,0.95,9.4,14.8,27,0,900
286.11,800,1.28,4.25,4.3,1.5,30,0.95,3.5,14.8,27.5,0,900
286.59,840,1.28,4.33,4.3,-0.8,30,0.96,5.1,14.8,27.5,0,900
287.08,840,1.28,4.19,4.3,0,30,0.98,3.9,14.8,28,0,900
287.56,840,1.28,4.44,4.3,0.8,30,1.01,-0.4,15.6,28,0,900
288.05,800,1.28,4.22,4.3,0.8,30,1.01,4.3,15.6,27,0,890
288.53,800,1.28,4.36,4.3,6.8,30,0.98,1.6,16.8,27,0,890
289.01,960,2.81,11.75,8.2,-9.8,31,1.03,4.3,19.5,18,1.6,880
289.5,1120,1.53,7.86,7.5,18.8,30,0.97,3.5,23,0,0,890
290.01,920,3.06,12.86,14.1,5.3,31,1.09,-3.5,24.6,-8,1.2,890
290.51,1120,2.04,10.58,10.2,13.5,31,0.95,4.7,25.4,3.5,0,910
291.01,1000,2.55,11.5,11.8,7.5,31,1.07,-3.1,25,-8.5,0,910
291.52,1200,2.29,12.11,11.4,-5.3,30,0.99,2.3,25,-6.5,0,910
291.99,1320,0.77,3.31,3.5,-7.5,30,0.89,3.5,14.8,8.5,0,930
292.47,1040,0.77,4.06,4.3,6,30,0.96,-5.5,14.8,27.5,0,900
292.97,880,0.77,4.19,4.3,3,30,1,-3.9,14.8,27.5,0,900
293.47,800,1.02,3.81,3.9,12,30,0.99,-5.5,14.8,28,0,890
293.97,800,1.02,4.25,4.3,5.3,30,1,-5.5,14.8,27.5,0,890
294.45,800,1.02,4.42,4.3,0.8,30,1.01,-1.6,14.8,27,0,890
294.94,800,1.28,4.44,4.3,0.8,30,1.02,-4.7,14.8,28,0,890
295.43,1000,2.55,12.78,11.8,12.8,30,1.03,0,28.9,22,1.6,880
295.92,1640,2.81,21.89,21.2,8.3,31,0.99,-3.1,39.1,4.5,3.5,900
296.41,1600,3.06,24.31,23.9,6,31,1.02,-3.5,39.1,8.5,10.6,960
296.89,1400,3.06,21.06,26.7,3.8,31,1,4.3,39.1,11.5,38.4,1010
297.37,1800,3.06,27.33,28.2,6,31,0.98,0.4,44.9,13.5,78.8,1050
297.86,2320,3.06,41.78,32.2,9,31,1.01,5.9,48,17.5,75.3,1140
298.33,2960,3.57,70.33,36.1,12.8,31,0.98,4.7,50.8,23,55.3,1350
298.81,3840,4.34,100.08,92.5,12.8,31,0.92,2.3,52.3,26.5,45.1,1620
299.31,5040,4.84,150.42,98.8,8.3,31,0.81,0.4,58.2,27,78.8,1780
299.82,5880,0,37.28,7.8,8.3,30,1.99,-13.3,55.5,27.5,82,1830
300.29,5000,0,13.78,12.5,2.3,27,1.99,0,14.8,27.5,0,1130
300.78,4120,1.53,40.75,24.7,27.8,26,0.88,0,28.1,26.5,0,1010
301.3,3760,2.81,91.92,99.6,20.3,27,1.04,-9.8,49.2,25.5,73.3,1150
301.78,4240,6.12,134.14,99.2,11.3,28,0.72,-5.9,79.7,27,72.5,1840
302.26,4720,6.38,145.17,99.6,9.8,30,0.74,1.6,79.7,26.5,77.6,1940
302.75,5160,6.12,155.36,99.6,14.3,30,0.74,-0.4,79.7,28,86.3,1840
303.25,5640,5.36,159.22,99.6,15,30,0.71,-2,79.7,27.5,94.9,1720
303.74,6000,3.31,118.19,17.6,5.3,30,1.99,-14.5,79.7,27.5,94.9,1620
304.21,5200,0,13.83,12.9,3.8,27,1.99,0,14.8,27.5,0,1190
304.72,4520,2.29,76.86,46.3,19.5,26,0.93,0,27.7,27.5,0,910
305.21,4280,3.57,105.11,76.1,15.8,28,0.93,-9.8,48.8,26,35.7,1490
305.7,4560,5.61,141.56,99.6,9.8,30,0.82,-2.7,60.9,28,69.8,1860
306.19,4800,5.61,150.83,99.6,7.5,30,0.84,-0.4,59,27.5,81.2,1950
